All NYC Facilities ,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,8/2019 vs 8/2020 
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Census ,"6,998","6,996","7,017","6,809","6,237","5,544","5,356","5,195","3,973","3,859","3,878","3,843","3,972",-43.20%
,,,,,,,,,,,,,,
Boarded Out ,6,4,5,5,5,4,5,3,1,1,2,2,2,-66.70%
,,,,,,,,,,,,,,
Boarded In ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,,,,,,,,,,,,,,
In House ,"6,992","6,991","7,011","6,804","6,232","5,539","5,351","5,192","3,972","3,858","3,876","3,841","3,970",-43.20%
,,,,,,,,,,,,,,
#NAME?,732,700,709,703,688,630,591,486,144,110,91,83,88,-88.00%
,,,,,,,,,,,,,,
#NAME?,7,8,10,13,14,13,18,14,0,0,0,0,1,-85.70%
,,,,,,,,,,,,,,
#NAME?,68,70,70,72,74,62,63,61,61,61,65,64,64,-5.90%
,,,,,,,,,,,,,,
#NAME?,675,708,777,789,818,799,769,738,393,226,214,205,220,-67.40%
,,,,,,,,,,,,,,
#NAME?,10,10,11,10,10,8,11,21,28,28,36,26,11,10.00%
,,,,,,,,,,,,,,
- Other Unsentenced ** ,"5,500","5,495","5,436","5,216","4,629","4,028","3,900","3,873","3,346","3,432","3,470","3,463","3,587",-34.80%