Facilities,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,8/2019 vs 8/2020 
Census ,"6,998","6,996","7,017","6,809","6,237","5,544","5,356","5,195","3,973","3,859","3,878","3,843","3,972",-43.20%
Boarded Out ,6,4,5,5,5,4,5,3,1,1,2,2,2,-66.70%
Boarded In ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
In House ,"6,992","6,991","7,011","6,804","6,232","5,539","5,351","5,192","3,972","3,858","3,876","3,841","3,970",-43.20%
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,